City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
68,albany,42.6001,-73.9662,3.35,36,39,2.24,US,2023-03-30 18:30:00
69,san agustin,20.5333,-103.4667,27.51,18,100,3.6,MX,2023-03-30 18:30:00
70,port alfred,-33.5906,26.891,16.21,80,22,1.34,ZA,2023-03-30 18:30:01
71,saint-georges,12.0564,-61.7485,28.82,65,20,10.29,GD,2023-03-30 18:30:01
72,kodiak,57.79,-152.4072,1.73,87,100,7.72,US,2023-03-30 18:25:56
73,butaritari,3.0707,172.7902,27.57,80,77,5.09,KI,2023-03-30 18:30:02
74,cape town,-33.9258,18.4232,18.4,74,20,7.72,ZA,2023-03-30 18:30:02
75,dingle,10.9995,122.6711,24.09,90,63,2.85,PH,2023-03-30 18:30:03
76,college,64.8569,-147.8028,-3.01,60,100,3.09,US,2023-03-30 18:30:03
77,mahebourg,-20.4081,57.7,27.16,89,40,5.14,MU,2023-03-30 18:30:03
78,rawson,-43.3002,-65.1023,12.48,58,100,7.23,AR,2023-03-30 18:30:04
79,cherskiy,68.75,161.3,-11.64,96,100,3.74,RU,2023-03-30 18:30:04
80,khatanga,71.9667,102.5,-29.4,99,89,3.14,RU,2023-03-30 18:30:04
81,mar del plata,-38.0023,-57.5575,19.9,67,20,6.69,AR,2023-03-30 18:27:43
82,mount gambier,-37.8333,140.7667,11.68,93,84,1.24,AU,2023-03-30 18:30:04
83,ormond beach,29.2858,-81.0559,26.2,55,40,6.69,US,2023-03-30 18:28:46
84,toora-khem,52.4675,96.11,-4.97,70,100,5.58,RU,2023-03-30 18:30:05
85,pishin,30.5803,66.9961,13.13,69,74,0.87,PK,2023-03-30 18:30:05
86,ko samui,9.5357,99.9357,27.99,75,59,4.32,TH,2023-03-30 18:30:06
87,naze,28.3667,129.4833,17.51,94,100,7.27,JP,2023-03-30 18:30:07
88,samarai,-10.6167,150.6667,27.83,76,55,1.83,PG,2023-03-30 18:30:08
89,east london,-33.0153,27.9116,16.52,77,0,3.09,ZA,2023-03-30 18:30:08
90,qaanaaq,77.484,-69.3632,-21.97,72,24,1.94,GL,2023-03-30 18:30:08
91,bundaberg,-24.85,152.35,18.45,99,94,2.68,AU,2023-03-30 18:30:09
92,arraial do cabo,-22.9661,-42.0278,30.98,66,0,4.12,BR,2023-03-30 18:30:09
93,altea,38.5989,-0.0514,25.64,27,97,2.86,ES,2023-03-30 18:30:09
94,livani,56.3543,26.1758,2.17,98,100,1.46,LV,2023-03-30 18:30:10
95,klaksvik,62.2266,-6.589,7.51,98,100,12.74,FO,2023-03-30 18:30:10
96,sitka,57.0531,-135.33,3.94,70,75,1.54,US,2023-03-30 18:30:10
97,atuona,-9.8,-139.0333,27.38,71,4,6.45,PF,2023-03-30 18:30:10
98,torbay,47.6666,-52.7314,3.55,59,20,2.57,CA,2023-03-30 18:30:11
99,prince rupert,54.3161,-130.3201,4.83,87,100,4.63,CA,2023-03-30 18:30:11
100,northam,51.0333,-4.2167,12.01,89,100,9.66,GB,2023-03-30 18:30:11
101,port lavaca,28.615,-96.6261,27.39,79,100,10.8,US,2023-03-30 18:30:11
102,colquiri,-17.4167,-67.1333,9.6,53,57,5.31,BO,2023-03-30 18:30:14
103,esperance,-33.8667,121.9,13.84,80,28,3.53,AU,2023-03-30 18:30:15
104,semey,50.4111,80.2275,-2.38,54,3,5.46,KZ,2023-03-30 18:30:15
105,burnie,-41.0667,145.9167,12.19,82,18,4.73,AU,2023-03-30 18:30:16
106,lodja,-3.4833,23.4333,20.56,97,100,1.18,CD,2023-03-30 18:30:16
107,dhidhdhoo,6.8833,73.1,27.73,75,100,4.03,MV,2023-03-30 18:30:17
108,ahipara,-35.1667,173.1667,10.67,82,10,1.96,NZ,2023-03-30 18:30:17
109,ponta do sol,32.6667,-17.1,23.35,62,7,1.67,PT,2023-03-30 18:30:17
110,thompson,55.7435,-97.8558,-10.91,44,0,5.66,CA,2023-03-30 18:30:10
111,talnakh,69.4865,88.3972,-27.11,100,100,2.44,RU,2023-03-30 18:30:18
112,lebu,-37.6167,-73.65,14.83,68,90,7.49,CL,2023-03-30 18:30:18
113,codrington,-38.2667,141.9667,13.8,75,100,2.89,AU,2023-03-30 18:30:18
114,wanaka,-44.7,169.15,3.95,88,31,0.89,NZ,2023-03-30 18:30:19
